Name;Group;Indication
eftrenonacog alfa;"Vitamin K and other hemostatics;Blood coagulation factors";Treatment and prophylaxis of bleeding in patients with haemophilia B (congenital factor IX deficiency).
"ertugliflozin;metformin hydrochloride";"Drugs used in diabetes;Combinations of oral blood glucose lowering drugs";Segluromet is indicated in adults aged 18 years and older with type 2 diabetes mellitus as an adjunct to diet and exercise to improve glycaemic control:  in patients not adequately controlled on their maximally tolerated dose of metformin alone in patients on their maximally tolerated doses of metformin in addition to other medicinal products for the treatment of diabetes in patients already being treated with the combination of ertugliflozin and metformin as separate tablets.
dupilumab;Agents for dermatitis, excluding corticosteroids;Atopic dermatitis Adults and adolescentsDupixent is indicated for the treatment of moderate-to-severe atopic dermatitis in adults and adolescents 12 years and older who are candidates for systemic therapy. Children 6 months to 11 years of ageDupixent is indicated for the treatment of severe atopic dermatitis in children 6 months to 11 years old who are candidates for systemic therapy. Asthma Adults and adolescentsDupixent is indicated in adults and adolescents 12 years and older as add-on maintenance treatment for severe asthma with type 2 inflammation characterised by raised blood eosinophils and/or raised fraction of exhaled nitric oxide (FeNO), see section 5.1, who are inadequately controlled with high dose inhaled corticosteroids (ICS) plus another medicinal product for maintenance treatment. Children 6 to 11 years of ageDupixent is indicated in children 6 to 11 years old as add-on maintenance treatment for severe asthma with type 2 inflammation characterised by raised blood eosinophils and/or raised fraction of exhaled nitric oxide (FeNO), who are inadequately controlled with medium to high dose inhaled corticosteroids (ICS) plus another medicinal product for maintenance treatment. Chronic rhinosinusitis with nasal polyposis (CRSwNP) Dupixent is indicated as an add-on therapy with intranasal corticosteroids for the treatment of adults with severe CRSwNP for whom therapy with systemic corticosteroids and/or surgery do not provide adequate disease control. Prurigo Nodularis (PN) Dupixent is indicated for the treatment of adults with moderate-to-severe prurigo nodularis (PN) who are candidates for systemic therapy. Eosinophilic esophagitis (EoE) Dupixent is indicated for the treatment of eosinophilic esophagitis in adults, adolescents and children aged 1 year and older, weighing at least 15 kg, who are inadequately controlled by, are intolerant to, or who are not candidates for conventional medicinal therapy. Chronic obstructive pulmonary disease (COPD) Dupixent is indicated in adults as add-on maintenance treatment for uncontrolled chronic obstructive pulmonary disease (COPD) characterised by raised blood eosinophils on a combination of an inhaled corticosteroid (ICS), a long-acting beta2-agonist (LABA), and a long-acting muscarinic antagonist (LAMA), or on a combination of a LABA and a LAMA if ICS is not appropriate.
"saxagliptin;dapagliflozin";Drugs used in diabetes;Qtern, fixed dose combination of saxagliptin and dapagliflozin, is indicated in adults aged 18 years and older with type 2 diabetes mellitus:  to improve glycaemic control when metformin and/or sulphonylurea (SU) and one of the monocomponents of Qtern do not provide adequate glycaemic control, when already being treated with the free combination of dapagliflozin and saxagliptin.  (See sections 4.2, 4.4, 4.5 and 5.1 for available data on combinations studied.)
sparsentan;Agents acting on the renin-angiotensin system;"Filspari is indicated for the treatment of adults with primary immunoglobulin A nephropathy (IgAN) with a urine protein excretion &gt; 1.0 g/day (or urine protein-to-creatinine ratio &gt; 0.75 g/g, see section 5.1)."
daridorexant;Psycholeptics;Quviviq is indicated for the treatment of adult patients with insomnia characterised by symptoms present for at least 3 months and considerable impact on daytime functioning.
zilucoplan;Immunosuppressants;Zilbrysq is indicated as an add-on to standard therapy for the treatment of generalised myasthenia gravis (gMG) in adult patients who are anti-acetylcholine receptor (AChR) antibody positive.
lefamulin;Antibacterials for systemic use;Xenleta is indicated for the treatment of community-acquired pneumonia (CAP) in adults when it is considered inappropriate to use antibacterial agents that are commonly recommended for the initial treatment of CAP or when these have failed. Consideration should be given to official guidance on the appropriate use of antibacterial agents.
marstacimab;Antihemorrhagics;"Hympavzi is indicated for routine prophylaxis of bleeding episodes in patients 12 years of age and older, weighing at least 35 kg, with:  severe haemophilia A (congenital factor VIII deficiency, FVIII &lt; 1%) without factor VIII inhibitors, or severe haemophilia B (congenital factor IX deficiency, FIX &lt; 1%) without factor IX inhibitors."
avanafil;Drugs used in erectile dysfunction;Treatment of erectile dysfunction in adult men. In order for Spedra to be effective, sexual stimulation is required.
bimekizumab;bimekizumab&nbsp;Plaque psoriasis Bimzelx is indicated for the treatment of moderate to severe plaque psoriasis in adults who are candidates for systemic therapy. Psoriatic arthritis Bimzelx, alone or in combination with methotrexate, is indicated for the treatment of active psoriatic arthritis in adults who have had an inadequate response or who have been intolerant to one or more disease-modifying antirheumatic drugs (DMARDs). Axial spondyloarthritis Non-radiographic axial spondyloarthritis (nr-axSpA) Bimzelx is indicated for the treatment of adults with active non-radiographic axial spondyloarthritis with objective signs of inflammation as indicated by elevated C-reactive protein (CRP) and/or magnetic resonance imaging (MRI) who have responded inadequately or are intolerant to non-steroidal anti-inflammatory drugs (NSAIDs). Ankylosing spondylitis (AS, radiographic axial spondyloarthritis) Bimzelx is indicated for the treatment of adults with active ankylosing spondylitis who have responded inadequately or are intolerant to conventional therapy. Hidradenitis suppurativa (HS)Bimzelx is indicated for the treatment of active moderate to severe hidradenitis suppurativa (acne inversa) in adults with an inadequate response to conventional systemic HS therapy.
"telmisartan;amlodipine";Agents acting on the renin-angiotensin system;Treatment of essential hypertension in adults: Add-on therapy Twynsta is indicated in adults whose blood pressure is not adequately controlled on amlodipine. Replacement therapy Adult patients receiving telmisartan and amlodipine from separate tablets can instead receive tablets of Twynsta containing the same component doses.
crovalimab;Immunosuppressants, Complement inhibitors;Piasky as monotherapy is indicated for the treatment of adult and paediatric patients 12 years of age or older with a weight of 40 kg and above with paroxysmal nocturnal haemoglobinuria (PNH):  In patients with haemolysis with clinical symptom(s) indicative of high disease activity. In patients who are clinically stable after having been treated with a complement component 5 (C5) inhibitor for at least the past 6 months.
